LG전자 2021 울트라기어 15U70P-FA76K 16GB램,i7-11세대,16,256,1747070,1850,15.6,외장
LG전자 2021 울트라기어 15UD70P-PX70K WIN10 16GB램,i7-11세대,16,256,1793950,1850,15.6,외장
LG전자 2021 울트라기어 17UD70P-PX76K WIN10 16GB램,i7-11세대,16,256,1927540,1950,17,외장
삼성전자 갤럭시북 프로360 NT950QDB-KC71S,i7-11세대,16,512,2240650,1390,15.6,내장
레노버 아이디어패드 Slim5-15ITL Premiere i5 WIN10,i5-11세대,8,256,998950,1690,15.6,외장
ASUS 비보북 플립 14 TP470EA-EC141T,i7-11세대,16,512,1198940,1500,14,내장
레노버 요가 Slim7 Carbon13ITL5 82EV004LKR,i5-11세대,16,512,1359000,970,13,내장
Microsoft 서피스 랩탑4 13.5 5EB-00020,i7-11세대,16,512,2190000,1288,13.5,내장
ASUS 젠북 듀오 UX482EA-KA111T,i7-11세대,16,1000,1798940,1620,14,내장
Microsoft 서피스 랩탑4 15 5IM-00020,i7-11세대,16,512,2277000,1542,15,내장
ASUS 비보북 S15 S533EQ-BQ025T,i5-11세대,8,512,967950,1800,15.6,외장
DELL 인스피론 13 7300 WH04KR,i7-11세대,8,512,1418180,1014,13.3,외장
레노버 씽크북 13s-ITL 20V90032KR,i7-11세대,16,512,1249000,1260,13.3,내장
DELL 2in1 인스피론 14 5410 DN5410A-WH05KR,i7-11세대,16,512,1318940,1500,14,외장
LG전자 2021 그램17 17ZD90P-GX7LK WIN10,i7-11세대,16,256,2161060,1350,17,내장
LG전자 2021 울트라기어 17U70P-FA76K 16GB램,i7-11세대,16,256,2008490,1950,17,외장
HP 파빌리온 15-eg0116TX WIN10 16GB램,i7-11세대,16,512,1182190,1720,15.6,외장
LG전자 2021 그램16 16ZD90P-GX70K WIN10,i7-11세대,8,256,1694150,1190,16,내장
삼성전자 갤럭시북 이온2 NT950XDA-K78AW 16GB램,i7-11세대,16,256,1773800,1190,15.6,내장
LG전자 2021 울트라PC 15UD50P-KX70K WIN10 16GB램,i7-11세대,16,256,1443470,1850,15.6,외장
LG전자 그램360 16T90P-OA70K,i7-11세대,16,256,2250000,1480,16,내장
삼성전자 갤럭시북 이온2 NT950XDA-XC78W,i7-11세대,8,256,1757140,1260,15.6,외장
삼성전자 노트북 플러스2 NT560XDZ-G78A WIN10,i7-11세대,8,256,1592900,1850,15.6,외장
삼성전자 노트북 플러스2 NT560XDZ-G78A WIN10 16GB램,i7-11세대,16,256,1705890,1850,15.6,외장
ASUS 젠북 듀오 UX482EA-HY109T,i7-11세대,16,1000,1899000,1570,14,내장
레노버 아이디어패드 Slim5-14ITL 5W M16,i5-11세대,16,256,945625,1390,14,외장
